Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
ethanol;chlorobenzene;CCO;c1ccc(cc1)Cl;-3.3
1-propanol;chlorobenzene;CCCO;c1ccc(cc1)Cl;-3.82
1-butanol;chlorobenzene;CCCCO;c1ccc(cc1)Cl;-4.31
1-pentanol;chlorobenzene;CCCCCO;c1ccc(cc1)Cl;-5.25
phenol;chlorobenzene;c1ccc(cc1)O;c1ccc(cc1)Cl;-6.96
1-hexanol;chlorobenzene;CCCCCCO;c1ccc(cc1)Cl;-5.98
o-cresol;chlorobenzene;Cc1ccccc1O;c1ccc(cc1)Cl;-7.33
p-cresol;chlorobenzene;Cc1ccc(cc1)O;c1ccc(cc1)Cl;-7.23
1-heptanol;chlorobenzene;CCCCCCCO;c1ccc(cc1)Cl;-6.78
1,4-dioxane;chlorobenzene;C1COCCO1;c1ccc(cc1)Cl;-5.08
acetone;chlorobenzene;CC(=O)C;c1ccc(cc1)Cl;-3.86
2-butanone;chlorobenzene;CCC(C)=O;c1ccc(cc1)Cl;-4.47
2-pentanone;chlorobenzene;CCCC(C)=O;c1ccc(cc1)Cl;-5.29
2-hexanone;chlorobenzene;CCCCC(C)=O;c1ccc(cc1)Cl;-5.84
3,3-dimethylbutanone;chlorobenzene;CC(=O)C(C)(C)C;c1ccc(cc1)Cl;-5.25
2-heptanone;chlorobenzene;CCCCCC(C)=O;c1ccc(cc1)Cl;-6.46
propanoicacid;chlorobenzene;CCC(O)=O;c1ccc(cc1)Cl;-4.38
methylacetate;chlorobenzene;COC(C)=O;c1ccc(cc1)Cl;-4.0
methylpropanoate;chlorobenzene;CCC(=O)OC;c1ccc(cc1)Cl;-4.55
ethylacetate;chlorobenzene;CCOC(C)=O;c1ccc(cc1)Cl;-4.63
propylacetate;chlorobenzene;CCCOC(C)=O;c1ccc(cc1)Cl;-5.15
methylpentanoate;chlorobenzene;CCCCC(=O)OC;c1ccc(cc1)Cl;-5.83
butylacetate;chlorobenzene;CCCCOC(C)=O;c1ccc(cc1)Cl;-5.74
pentylacetate;chlorobenzene;CCCCCOC(C)=O;c1ccc(cc1)Cl;-6.49
ethylamine;chlorobenzene;CCN;c1ccc(cc1)Cl;-2.73
dimethylamine;chlorobenzene;CNC;c1ccc(cc1)Cl;-2.75
propylamine;chlorobenzene;CCCN;c1ccc(cc1)Cl;-3.59
trimethylamine;chlorobenzene;CN(C)C;c1ccc(cc1)Cl;-2.82
aniline;chlorobenzene;c1ccc(cc1)N;c1ccc(cc1)Cl;-6.72
chlorobenzene;chlorobenzene;c1ccc(cc1)Cl;c1ccc(cc1)Cl;-5.66
p-bromophenol;chlorobenzene;Oc1ccc(Br)cc1;c1ccc(cc1)Cl;-8.54
ammonia;chlorobenzene;N;c1ccc(cc1)Cl;-1.22
methylamine;chlorobenzene;CN;c1ccc(cc1)Cl;-2.16
nitromethane;chlorobenzene;C[N+](=O)[O-];c1ccc(cc1)Cl;-4.32
4-methylaniline;chlorobenzene;Cc1ccc(cc1)N;c1ccc(cc1)Cl;-7.54
n-octane;chloroform;CCCCCCCC;C(Cl)(Cl)Cl;-5.25
cyclohexane;chloroform;C1CCCCC1;C(Cl)(Cl)Cl;-4.45
benzene;chloroform;c1ccccc1;C(Cl)(Cl)Cl;-4.64
toluene;chloroform;Cc1ccccc1;C(Cl)(Cl)Cl;-5.48
ethylbenzene;chloroform;CCc1ccccc1;C(Cl)(Cl)Cl;-5.84
o-xylene;chloroform;Cc1ccccc1C;C(Cl)(Cl)Cl;-6.23
m-xylene;chloroform;Cc1cccc(c1)C;C(Cl)(Cl)Cl;-5.86
naphthalene;chloroform;c1ccc2ccccc2c1;C(Cl)(Cl)Cl;-7.89
methanol;chloroform;CO;C(Cl)(Cl)Cl;-3.32
ethanol;chloroform;CCO;C(Cl)(Cl)Cl;-3.94
1,2-ethanediol;chloroform;OCCO;C(Cl)(Cl)Cl;-5.98
1-propanol;chloroform;CCCO;C(Cl)(Cl)Cl;-4.41
isopropanol;chloroform;CC(C)O;C(Cl)(Cl)Cl;-4.28
1-butanol;chloroform;CCCCO;C(Cl)(Cl)Cl;-5.28
t-butanol;chloroform;CC(C)(C)O;C(Cl)(Cl)Cl;-4.48
1-pentanol;chloroform;CCCCCO;C(Cl)(Cl)Cl;-5.9
phenol;chloroform;c1ccc(cc1)O;C(Cl)(Cl)Cl;-7.14
1-hexanol;chloroform;CCCCCCO;C(Cl)(Cl)Cl;-6.67
o-cresol;chloroform;Cc1ccccc1O;C(Cl)(Cl)Cl;-7.55
m-cresol;chloroform;Cc1cccc(c1)O;C(Cl)(Cl)Cl;-6.7
p-cresol;chloroform;Cc1ccc(cc1)O;C(Cl)(Cl)Cl;-7.59
1-heptanol;chloroform;CCCCCCCO;C(Cl)(Cl)Cl;-7.53
1,4-dioxane;chloroform;C1COCCO1;C(Cl)(Cl)Cl;-6.21
diethylether;chloroform;CCOCC;C(Cl)(Cl)Cl;-4.32
anisole;chloroform;COc1ccccc1;C(Cl)(Cl)Cl;-6.24
formaldehyde;chloroform;C=O;C(Cl)(Cl)Cl;0.12
acetaldehyde;chloroform;CC=O;C(Cl)(Cl)Cl;-3.65
benzaldehyde;chloroform;c1ccc(cc1)C=O;C(Cl)(Cl)Cl;-7.09
acetone;chloroform;CC(=O)C;C(Cl)(Cl)Cl;-4.42
2-butanone;chloroform;CCC(C)=O;C(Cl)(Cl)Cl;-5.43
acetophenone;chloroform;CC(=O)c1ccccc1;C(Cl)(Cl)Cl;-7.81
aceticacid;chloroform;CC(O)=O;C(Cl)(Cl)Cl;-4.74
propanoicacid;chloroform;CCC(O)=O;C(Cl)(Cl)Cl;-5.37
butanoicacid;chloroform;CCCC(O)=O;C(Cl)(Cl)Cl;-5.99
pentanoicacid;chloroform;CCCCC(O)=O;C(Cl)(Cl)Cl;-6.61
hexanoicacid;chloroform;CCCCCC(O)=O;C(Cl)(Cl)Cl;-7.51
methylacetate;chloroform;COC(C)=O;C(Cl)(Cl)Cl;-4.9
methylpropanoate;chloroform;CCC(=O)OC;C(Cl)(Cl)Cl;-5.48
ethylacetate;chloroform;CCOC(C)=O;C(Cl)(Cl)Cl;-5.58
propylacetate;chloroform;CCCOC(C)=O;C(Cl)(Cl)Cl;-6.35
methylpentanoate;chloroform;CCCCC(=O)OC;C(Cl)(Cl)Cl;-6.68
butylacetate;chloroform;CCCCOC(C)=O;C(Cl)(Cl)Cl;-6.71
methylhexanoate;chloroform;CCCCCC(=O)OC;C(Cl)(Cl)Cl;-7.24
pentylacetate;chloroform;CCCCCOC(C)=O;C(Cl)(Cl)Cl;-7.36
ethylamine;chloroform;CCN;C(Cl)(Cl)Cl;-4.02
dimethylamine;chloroform;CNC;C(Cl)(Cl)Cl;-3.69
propylamine;chloroform;CCCN;C(Cl)(Cl)Cl;-4.73
trimethylamine;chloroform;CN(C)C;C(Cl)(Cl)Cl;-3.9
diethylamine;chloroform;CCNCC;C(Cl)(Cl)Cl;-5.23
pyridine;chloroform;c1ccncc1;C(Cl)(Cl)Cl;-6.45
2-methylpyrazine;chloroform;Cc1cnccn1;C(Cl)(Cl)Cl;-6.99
aniline;chloroform;c1ccc(cc1)N;C(Cl)(Cl)Cl;-7.34
2-methylpyridine;chloroform;Cc1ccccn1;C(Cl)(Cl)Cl;-6.98
3-methylpyridine;chloroform;Cc1cccnc1;C(Cl)(Cl)Cl;-7.35
4-methylpyridine;chloroform;Cc1ccncc1;C(Cl)(Cl)Cl;-7.5
2,6-dimethylpyridine;chloroform;Cc1cccc(n1)C;C(Cl)(Cl)Cl;-7.74
acetonitrile;chloroform;CC#N;C(Cl)(Cl)Cl;-4.44
benzonitrile;chloroform;c1ccc(cc1)C#N;C(Cl)(Cl)Cl;-7.22
nitrobenzene;chloroform;c1ccc(cc1)[N+](=O)[O-];C(Cl)(Cl)Cl;-7.78
2-methyl-1-nitrobenzene;chloroform;Cc1ccccc1[N+]([O-])=O;C(Cl)(Cl)Cl;-8.3
thiophenol;chloroform;Sc1ccccc1;C(Cl)(Cl)Cl;-7.61
diethylsulfide;chloroform;CCSCC;C(Cl)(Cl)Cl;-6.4
thioanisole;chloroform;CSc1ccccc1;C(Cl)(Cl)Cl;-5.98
allylalcohol;chloroform;OCC=C;C(Cl)(Cl)Cl;-4.34
morpholine;chloroform;C1COCCN1;C(Cl)(Cl)Cl;-6.72
p-hydroxybenzaldehyde;chloroform;Oc1ccc(C=O)cc1;C(Cl)(Cl)Cl;-10.3
fluorobenzene;chloroform;c1ccc(cc1)F;C(Cl)(Cl)Cl;-4.25
chloroform;chloroform;C(Cl)(Cl)Cl;C(Cl)(Cl)Cl;-4.13
chlorobenzene;chloroform;c1ccc(cc1)Cl;C(Cl)(Cl)Cl;-5.45
1,4-dichlorobenzene;chloroform;c1cc(ccc1Cl)Cl;C(Cl)(Cl)Cl;-6.32
bromobenzene;chloroform;c1ccc(cc1)Br;C(Cl)(Cl)Cl;-6.07
2,2,2-trifluoroethanol;chloroform;C(C(F)(F)F)O;C(Cl)(Cl)Cl;-3.03
p-bromophenol;chloroform;Oc1ccc(Br)cc1;C(Cl)(Cl)Cl;-8.59
ammonia;chloroform;N;C(Cl)(Cl)Cl;-2.41
water;chloroform;O;C(Cl)(Cl)Cl;-2.05
hydrogensulfide;chloroform;S;C(Cl)(Cl)Cl;-0.51
trimethylphosphate;chloroform;CO[P](=O)(OC)OC;C(Cl)(Cl)Cl;-9.74
triethylphosphate;chloroform;CCOP(=O)(OCC)OCC;C(Cl)(Cl)Cl;-10.9
tripropylphosphate;chloroform;CCCO[P](=O)(OCCC)OCCC;C(Cl)(Cl)Cl;-11.11
piperidine;chloroform;C1CCNCC1;C(Cl)(Cl)Cl;-6.37
methylamine;chloroform;CN;C(Cl)(Cl)Cl;-3.17
hydrazine;chloroform;NN;C(Cl)(Cl)Cl;-4.42
2-ethylpyrazine;chloroform;CCc1cnccn1;C(Cl)(Cl)Cl;-7.72
acetamide;chloroform;CC(=O)N;C(Cl)(Cl)Cl;-7.05
methylbenzoate;chloroform;COC(=O)c1ccccc1;C(Cl)(Cl)Cl;-7.81
isopropylether;chloroform;CC(C)OC(C)C;C(Cl)(Cl)Cl;-3.78
tetrahydropyran;chloroform;C1CCOCC1;C(Cl)(Cl)Cl;-5.84
thiophene;chloroform;c1ccsc1;C(Cl)(Cl)Cl;-5.83
ethylphenylether;chloroform;CCOc1ccccc1;C(Cl)(Cl)Cl;-7.16
1,1-dimethyl-3-phenylurea;chloroform;CN(C)C(=O)Nc1ccccc1;C(Cl)(Cl)Cl;-13.64
9-methyladenine;chloroform;Cn1cnc2c(N)ncnc12;C(Cl)(Cl)Cl;-12.51
1-methylthymine;chloroform;CN1C=C(C)C(=O)NC1=O;C(Cl)(Cl)Cl;-9.71
difluorodichloromethane;chloroform;FC(F)(Cl)Cl;C(Cl)(Cl)Cl;-1.55
fluorotrichloromethane;chloroform;FC(Cl)(Cl)Cl;C(Cl)(Cl)Cl;-2.62
dimethyl4-nitrophenylthiophosphate;chloroform;C[S](C)(c1ccc(cc1)[N+]([O-])=O)=[P]([O-])([O-])[O-];C(Cl)(Cl)Cl;-9.51
nitromethane;chloroform;C[N+](=O)[O-];C(Cl)(Cl)Cl;-4.68
N,N-dimethylacetamide;chloroform;CN(C)C(C)=O;C(Cl)(Cl)Cl;-8.38
pyrrole;chloroform;c1cc[nH]c1;C(Cl)(Cl)Cl;-5.5
quinoline;chloroform;c1ccc2c(c1)cccn2;C(Cl)(Cl)Cl;-10.23
urea;chloroform;NC(N)=O;C(Cl)(Cl)Cl;-8.56
benzamide;chloroform;c1ccc(cc1)C(=O)N;C(Cl)(Cl)Cl;-11.06
2-methylaniline;chloroform;Cc1ccccc1N;C(Cl)(Cl)Cl;-8.23
4-methylaniline;chloroform;Cc1ccc(cc1)N;C(Cl)(Cl)Cl;-8.01
hydrogenperoxide;chloroform;OO;C(Cl)(Cl)Cl;-4.7
N-methyl-2-pyrrolidinone;chloroform;CN1CCCC1=O;C(Cl)(Cl)Cl;-9.82
uracil;chloroform;O=C1NC=CC(=O)N1;C(Cl)(Cl)Cl;-14.28
5-fluorouracil;chloroform;c1c(c(=O)[nH]c(=O)[nH]1)F;C(Cl)(Cl)Cl;-14.31
5-bromouracil;chloroform;c1c(c(=O)[nH]c(=O)[nH]1)Br;C(Cl)(Cl)Cl;-15.03
iodobenzene;chloroform;c1ccc(cc1)I;C(Cl)(Cl)Cl;-6.6
acetone;chlorohexane;CC(=O)C;CCCCCCCl;-3.45
2-butanone;chlorohexane;CCC(C)=O;CCCCCCCl;-4.1
2-pentanone;chlorohexane;CCCC(C)=O;CCCCCCCl;-4.84
2-hexanone;chlorohexane;CCCCC(C)=O;CCCCCCCl;-5.42
3,3-dimethylbutanone;chlorohexane;CC(=O)C(C)(C)C;CCCCCCCl;-4.98
methylacetate;chlorohexane;COC(C)=O;CCCCCCCl;-3.66
methylpropanoate;chlorohexane;CCC(=O)OC;CCCCCCCl;-4.2
ethylacetate;chlorohexane;CCOC(C)=O;CCCCCCCl;-4.25
propylacetate;chlorohexane;CCCOC(C)=O;CCCCCCCl;-4.84
methylpentanoate;chlorohexane;CCCCC(=O)OC;CCCCCCCl;-5.41
butylacetate;chlorohexane;CCCCOC(C)=O;CCCCCCCl;-5.37
n-propane;cyclohexane;CCC;C1CCCCC1;-2.09
n-butane;cyclohexane;CCCC;C1CCCCC1;-2.86
n-pentane;cyclohexane;CCCCC;C1CCCCC1;-3.5
n-octane;cyclohexane;CCCCCCCC;C1CCCCC1;-5.63
cyclohexane;cyclohexane;C1CCCCC1;C1CCCCC1;-4.43
benzene;cyclohexane;c1ccccc1;C1CCCCC1;-4.19
toluene;cyclohexane;Cc1ccccc1;C1CCCCC1;-4.9
ethylbenzene;cyclohexane;CCc1ccccc1;C1CCCCC1;-4.97
o-xylene;cyclohexane;Cc1ccccc1C;C1CCCCC1;-5.54
m-xylene;cyclohexane;Cc1cccc(c1)C;C1CCCCC1;-5.52
naphthalene;cyclohexane;c1ccc2ccccc2c1;C1CCCCC1;-7.17
methanol;cyclohexane;CO;C1CCCCC1;-1.29
ethanol;cyclohexane;CCO;C1CCCCC1;-2.42
1-propanol;cyclohexane;CCCO;C1CCCCC1;-2.73
isopropanol;cyclohexane;CC(C)O;C1CCCCC1;-2.37
1-butanol;cyclohexane;CCCCO;C1CCCCC1;-3.52
t-butanol;cyclohexane;CC(C)(C)O;C1CCCCC1;-2.93
1-pentanol;cyclohexane;CCCCCO;C1CCCCC1;-3.61
phenol;cyclohexane;c1ccc(cc1)O;C1CCCCC1;-5.57
1-hexanol;cyclohexane;CCCCCCO;C1CCCCC1;-5.31
o-cresol;cyclohexane;Cc1ccccc1O;C1CCCCC1;-6.02
m-cresol;cyclohexane;Cc1cccc(c1)O;C1CCCCC1;-5.2
p-cresol;cyclohexane;Cc1ccc(cc1)O;C1CCCCC1;-5.89
1-heptanol;cyclohexane;CCCCCCCO;C1CCCCC1;-6.02
1,4-dioxane;cyclohexane;C1COCCO1;C1CCCCC1;-4.17
diethylether;cyclohexane;CCOCC;C1CCCCC1;-3.03
anisole;cyclohexane;COc1ccccc1;C1CCCCC1;-5.38
benzaldehyde;cyclohexane;c1ccc(cc1)C=O;C1CCCCC1;-5.71
acetone;cyclohexane;CC(=O)C;C1CCCCC1;-2.67
2-butanone;cyclohexane;CCC(C)=O;C1CCCCC1;-3.48
2-pentanone;cyclohexane;CCCC(C)=O;C1CCCCC1;-4.19
3-pentanone;cyclohexane;CCC(=O)CC;C1CCCCC1;-4.3
2-hexanone;cyclohexane;CCCCC(C)=O;C1CCCCC1;-4.77
3,3-dimethylbutanone;cyclohexane;CC(=O)C(C)(C)C;C1CCCCC1;-4.42
2-heptanone;cyclohexane;CCCCCC(C)=O;C1CCCCC1;-5.47
acetophenone;cyclohexane;CC(=O)c1ccccc1;C1CCCCC1;-6.29
aceticacid;cyclohexane;CC(O)=O;C1CCCCC1;-1.73
propanoicacid;cyclohexane;CCC(O)=O;C1CCCCC1;-3.78
methylacetate;cyclohexane;COC(C)=O;C1CCCCC1;-3.06
methylpropanoate;cyclohexane;CCC(=O)OC;C1CCCCC1;-3.71
ethylacetate;cyclohexane;CCOC(C)=O;C1CCCCC1;-3.56
propylacetate;cyclohexane;CCCOC(C)=O;C1CCCCC1;-4.36
methylpentanoate;cyclohexane;CCCCC(=O)OC;C1CCCCC1;-5.04
butylacetate;cyclohexane;CCCCOC(C)=O;C1CCCCC1;-4.94
methylhexanoate;cyclohexane;CCCCCC(=O)OC;C1CCCCC1;-5.75
pentylacetate;cyclohexane;CCCCCOC(C)=O;C1CCCCC1;-5.71
ethylamine;cyclohexane;CCN;C1CCCCC1;-2.04
trimethylamine;cyclohexane;CN(C)C;C1CCCCC1;-2.63
diethylamine;cyclohexane;CCNCC;C1CCCCC1;-3.61
pyridine;cyclohexane;c1ccncc1;C1CCCCC1;-4.3
aniline;cyclohexane;c1ccc(cc1)N;C1CCCCC1;-5.52
2-methylpyridine;cyclohexane;Cc1ccccn1;C1CCCCC1;-5.05
3-methylpyridine;cyclohexane;Cc1cccnc1;C1CCCCC1;-5.14
4-methylpyridine;cyclohexane;Cc1ccncc1;C1CCCCC1;-5.23
N-methylaniline;cyclohexane;CNc1ccccc1;C1CCCCC1;-6.33
2,6-dimethylpyridine;cyclohexane;Cc1cccc(n1)C;C1CCCCC1;-5.51
acetonitrile;cyclohexane;CC#N;C1CCCCC1;-1.87
benzonitrile;cyclohexane;c1ccc(cc1)C#N;C1CCCCC1;-5.54
1-nitropropane;cyclohexane;CCC[N+](=O)[O-];C1CCCCC1;-4.06
nitrobenzene;cyclohexane;c1ccc(cc1)[N+](=O)[O-];C1CCCCC1;-6.62
2-methyl-1-nitrobenzene;cyclohexane;Cc1ccccc1[N+]([O-])=O;C1CCCCC1;-6.71
1-propanethiol;cyclohexane;CCCS;C1CCCCC1;-3.12
thioanisole;cyclohexane;CSc1ccccc1;C1CCCCC1;-5.66
m-hydroxybenzaldehyde;cyclohexane;Oc1cccc(C=O)c1;C1CCCCC1;-6.88
p-hydroxybenzaldehyde;cyclohexane;Oc1ccc(C=O)cc1;C1CCCCC1;-7.19
fluorobenzene;cyclohexane;c1ccc(cc1)F;C1CCCCC1;-3.59
1,1,1-trichloroethane;cyclohexane;CC(Cl)(Cl)Cl;C1CCCCC1;-4.08
trichloroethene;cyclohexane;ClC=C(Cl)Cl;C1CCCCC1;-4.29
chlorobenzene;cyclohexane;c1ccc(cc1)Cl;C1CCCCC1;-5.1
1,4-dichlorobenzene;cyclohexane;c1cc(ccc1Cl)Cl;C1CCCCC1;-5.89
bromobenzene;cyclohexane;c1ccc(cc1)Br;C1CCCCC1;-5.29
2,2,2-trifluoroethanol;cyclohexane;C(C(F)(F)F)O;C1CCCCC1;-1.53
p-bromophenol;cyclohexane;Oc1ccc(Br)cc1;C1CCCCC1;-7.14
water;cyclohexane;O;C1CCCCC1;-0.39
trimethylphosphate;cyclohexane;CO[P](=O)(OC)OC;C1CCCCC1;-5.67
triethylphosphate;cyclohexane;CCOP(=O)(OCC)OCC;C1CCCCC1;-7.6
tripropylphosphate;cyclohexane;CCCO[P](=O)(OCCC)OCCC;C1CCCCC1;-7.71
methylbenzoate;cyclohexane;COC(=O)c1ccccc1;C1CCCCC1;-7.01
tetrahydropyran;cyclohexane;C1CCOCC1;C1CCCCC1;-4.41
ethylphenylether;cyclohexane;CCOc1ccccc1;C1CCCCC1;-6.0
difluorodichloromethane;cyclohexane;FC(F)(Cl)Cl;C1CCCCC1;-1.81
fluorotrichloromethane;cyclohexane;FC(Cl)(Cl)Cl;C1CCCCC1;-2.63
3,5-dibromo-4-hydroxybenzonitrile;cyclohexane;Oc1c(Br)cc(cc1Br)C#N;C1CCCCC1;-6.83
nitromethane;cyclohexane;C[N+](=O)[O-];C1CCCCC1;-2.86
N,N-dimethylformamide;cyclohexane;CN(C)C=O;C1CCCCC1;-3.82
pyrrole;cyclohexane;c1cc[nH]c1;C1CCCCC1;-3.77
quinoline;cyclohexane;c1ccc2c(c1)cccn2;C1CCCCC1;-7.38
benzamide;cyclohexane;c1ccc(cc1)C(=O)N;C1CCCCC1;-8.72
2-methylaniline;cyclohexane;Cc1ccccc1N;C1CCCCC1;-6.44
3-methylaniline;cyclohexane;Cc1cccc(N)c1;C1CCCCC1;-6.47
4-methylaniline;cyclohexane;Cc1ccc(cc1)N;C1CCCCC1;-6.3
iodobenzene;cyclohexane;c1ccc(cc1)I;C1CCCCC1;-6.26
n-octane;cyclohexanone;CCCCCCCC;C1CCC(=O)CC1;-4.57
toluene;cyclohexanone;Cc1ccccc1;C1CCC(=O)CC1;-5.05
ethanol;cyclohexanone;CCO;C1CCC(=O)CC1;-4.41
1,4-dioxane;cyclohexanone;C1COCCO1;C1CCC(=O)CC1;-4.95
2-butanone;cyclohexanone;CCC(C)=O;C1CCC(=O)CC1;-4.42
aceticacid;cyclohexanone;CC(O)=O;C1CCC(=O)CC1;-6.43
propanoicacid;cyclohexanone;CCC(O)=O;C1CCC(=O)CC1;-7.18
nitromethane;cyclohexanone;C[N+](=O)[O-];C1CCC(=O)CC1;-5.09
cyclohexanone;cyclohexanone;C1CCC(=O)CC1;C1CCC(=O)CC1;-6.25
hydrogenperoxide;cyclohexanone;OO;C1CCC(=O)CC1;-9.11
toluene;decalin;Cc1ccccc1;C1CCC2CCCCC2C1;-4.37
phenol;decalin;c1ccc(cc1)O;C1CCC2CCCCC2C1;-5.38
m-cresol;decalin;Cc1cccc(c1)O;C1CCC2CCCCC2C1;-5.11
p-cresol;decalin;Cc1ccc(cc1)O;C1CCC2CCCCC2C1;-5.68
anisole;decalin;COc1ccccc1;C1CCC2CCCCC2C1;-5.0
acetophenone;decalin;CC(=O)c1ccccc1;C1CCC2CCCCC2C1;-6.23
aceticacid;decalin;CC(O)=O;C1CCC2CCCCC2C1;-4.49
propanoicacid;decalin;CCC(O)=O;C1CCC2CCCCC2C1;-4.42
methylacetate;decalin;COC(C)=O;C1CCC2CCCCC2C1;-2.9
methylpropanoate;decalin;CCC(=O)OC;C1CCC2CCCCC2C1;-3.5
ethylacetate;decalin;CCOC(C)=O;C1CCC2CCCCC2C1;-3.47
propylacetate;decalin;CCCOC(C)=O;C1CCC2CCCCC2C1;-4.05
methylpentanoate;decalin;CCCCC(=O)OC;C1CCC2CCCCC2C1;-4.83
butylacetate;decalin;CCCCOC(C)=O;C1CCC2CCCCC2C1;-4.71
methylhexanoate;decalin;CCCCCC(=O)OC;C1CCC2CCCCC2C1;-5.51
pentylacetate;decalin;CCCCCOC(C)=O;C1CCC2CCCCC2C1;-5.44
butylamine;decalin;CCCCN;C1CCC2CCCCC2C1;-3.72
aniline;decalin;c1ccc(cc1)N;C1CCC2CCCCC2C1;-5.78
N-methylaniline;decalin;CNc1ccccc1;C1CCC2CCCCC2C1;-6.41
benzonitrile;decalin;c1ccc(cc1)C#N;C1CCC2CCCCC2C1;-5.86
nitrobenzene;decalin;c1ccc(cc1)[N+](=O)[O-];C1CCC2CCCCC2C1;-6.36
thioanisole;decalin;CSc1ccccc1;C1CCC2CCCCC2C1;-5.54
fluorobenzene;decalin;c1ccc(cc1)F;C1CCC2CCCCC2C1;-3.44
chlorobenzene;decalin;c1ccc(cc1)Cl;C1CCC2CCCCC2C1;-4.61
bromobenzene;decalin;c1ccc(cc1)Br;C1CCC2CCCCC2C1;-5.25
methylbenzoate;decalin;COC(=O)c1ccccc1;C1CCC2CCCCC2C1;-6.76
iodobenzene;decalin;c1ccc(cc1)I;C1CCC2CCCCC2C1;-5.96
n-octane;decane;CCCCCCCC;CCCCCCCCCC;-5.18
benzene;decane;c1ccccc1;CCCCCCCCCC;-3.8
toluene;decane;Cc1ccccc1;CCCCCCCCCC;-4.65
ethylbenzene;decane;CCc1ccccc1;CCCCCCCCCC;-5.25
methanol;decane;CO;CCCCCCCCCC;-1.29
ethanol;decane;CCO;CCCCCCCCCC;-2.44
1-propanol;decane;CCCO;CCCCCCCCCC;-2.76
1-butanol;decane;CCCCO;CCCCCCCCCC;-3.77
1-pentanol;decane;CCCCCO;CCCCCCCCCC;-3.92
phenol;decane;c1ccc(cc1)O;CCCCCCCCCC;-5.5
1-hexanol;decane;CCCCCCO;CCCCCCCCCC;-4.97
p-cresol;decane;Cc1ccc(cc1)O;CCCCCCCCCC;-6.0
1-heptanol;decane;CCCCCCCO;CCCCCCCCCC;-5.62
1,4-dioxane;decane;C1COCCO1;CCCCCCCCCC;-3.97
acetone;decane;CC(=O)C;CCCCCCCCCC;-2.47
2-butanone;decane;CCC(C)=O;CCCCCCCCCC;-3.3
2-pentanone;decane;CCCC(C)=O;CCCCCCCCCC;-3.93
2-hexanone;decane;CCCCC(C)=O;CCCCCCCCCC;-4.61
3,3-dimethylbutanone;decane;CC(=O)C(C)(C)C;CCCCCCCCCC;-4.15
2-heptanone;decane;CCCCCC(C)=O;CCCCCCCCCC;-5.18
methylacetate;decane;COC(C)=O;CCCCCCCCCC;-2.98
methylpropanoate;decane;CCC(=O)OC;CCCCCCCCCC;-3.49
ethylacetate;decane;CCOC(C)=O;CCCCCCCCCC;-3.43
propylacetate;decane;CCCOC(C)=O;CCCCCCCCCC;-4.02
methylpentanoate;decane;CCCCC(=O)OC;CCCCCCCCCC;-4.77
butylacetate;decane;CCCCOC(C)=O;CCCCCCCCCC;-4.66
methylhexanoate;decane;CCCCCC(=O)OC;CCCCCCCCCC;-5.48
pentylacetate;decane;CCCCCOC(C)=O;CCCCCCCCCC;-5.31
ethylamine;decane;CCN;CCCCCCCCCC;-1.92
propylamine;decane;CCCN;CCCCCCCCCC;-2.96
butylamine;decane;CCCCN;CCCCCCCCCC;-3.55
fluorobenzene;decane;c1ccc(cc1)F;CCCCCCCCCC;-3.48
trichloroethene;decane;ClC=C(Cl)Cl;CCCCCCCCCC;-3.84
chlorobenzene;decane;c1ccc(cc1)Cl;CCCCCCCCCC;-4.93
bromobenzene;decane;c1ccc(cc1)Br;CCCCCCCCCC;-5.43
acetamide;decane;CC(=O)N;CCCCCCCCCC;-2.85
nitromethane;decane;C[N+](=O)[O-];CCCCCCCCCC;-2.81
n-decane;decane;CCCCCCCCCC;CCCCCCCCCC;-6.53
4-methylaniline;decane;Cc1ccc(cc1)N;CCCCCCCCCC;-6.05
phenol;decanol;c1ccc(cc1)O;CCCCCCCCCCO;-8.58
o-cresol;decanol;Cc1ccccc1O;CCCCCCCCCCO;-8.58
m-cresol;decanol;Cc1cccc(c1)O;CCCCCCCCCCO;-8.01
p-cresol;decanol;Cc1ccc(cc1)O;CCCCCCCCCCO;-8.91
1-decanol;decanol;CCCCCCCCCCO;CCCCCCCCCCO;-9.58
ethylamine;decanol;CCN;CCCCCCCCCCO;-3.91
propylamine;decanol;CCCN;CCCCCCCCCCO;-4.59
butylamine;decanol;CCCCN;CCCCCCCCCCO;-5.22
2-methoxyethanol;decanol;COCCO;CCCCCCCCCCO;-5.41
chlorobenzene;decanol;c1ccc(cc1)Cl;CCCCCCCCCCO;-4.83
p-bromophenol;decanol;Oc1ccc(Br)cc1;CCCCCCCCCCO;-10.32
methanol;dibromoethane;CO;CC(Br)Br;-2.38
ethanol;dibromoethane;CCO;CC(Br)Br;-2.69
1-propanol;dibromoethane;CCCO;CC(Br)Br;-3.82
1-butanol;dibromoethane;CCCCO;CC(Br)Br;-4.65
1-pentanol;dibromoethane;CCCCCO;CC(Br)Br;-5.44
phenol;dibromoethane;c1ccc(cc1)O;CC(Br)Br;-7.22
1-hexanol;dibromoethane;CCCCCCO;CC(Br)Br;-6.08
p-cresol;dibromoethane;Cc1ccc(cc1)O;CC(Br)Br;-7.52
1-heptanol;dibromoethane;CCCCCCCO;CC(Br)Br;-6.64
